gene_id	gene_type	gene_name
ENSG00000255503	lincRNA	AP001767.3
ENSG00000279900	TEC	AP001767.4
ENSG00000254676	sense_overlapping	AP000873.4
ENSG00000247137	processed_transcript	AP000873.2
ENSG00000269939	lincRNA	PCF11-AS1
ENSG00000254551	antisense	AP000873.3
ENSG00000255234	antisense	AP000446.1
ENSG00000255311	antisense	AP002370.2
ENSG00000254787	antisense	AP001825.1
ENSG00000255555	antisense	AP000857.2
ENSG00000279742	TEC	AP000974.1
ENSG00000255005	antisense	AP003128.1
ENSG00000254699	lincRNA	AP003097.2
ENSG00000254733	antisense	AP001831.1
ENSG00000278989	TEC	AP001148.1
ENSG00000254731	lincRNA	AP003059.1
ENSG00000255250	lincRNA	AP003059.2
ENSG00000269895	lincRNA	AP000654.1
ENSG00000255471	antisense	AP001528.2
ENSG00000280339	TEC	AP001528.3
ENSG00000246523	lincRNA	AP001528.1
ENSG00000279836	TEC	AP002967.1
ENSG00000279701	TEC	AP003497.2
ENSG00000278929	TEC	AP001784.1
ENSG00000255183	lincRNA	AP000756.1
ENSG00000279341	TEC	AP000756.2
ENSG00000279793	TEC	AP000676.3
ENSG00000285835	lincRNA	AP000676.5
ENSG00000280307	TEC	AP000676.4
ENSG00000255516	lincRNA	AP005436.3
ENSG00000255102	lincRNA	AP005436.1
ENSG00000255241	antisense	AP005436.2
ENSG00000279733	TEC	AP001642.1
ENSG00000255082	antisense	GRM5-AS1
ENSG00000279297	TEC	AP000720.1
ENSG00000279603	TEC	AP000720.2
ENSG00000279248	TEC	AP003400.4
ENSG00000279697	TEC	AP003400.5
ENSG00000255429	lincRNA	AP003400.1
ENSG00000279045	TEC	AP003400.2
ENSG00000279056	TEC	AP003400.3
ENSG00000280201	TEC	AP003400.6
ENSG00000279163	TEC	AP003122.6
ENSG00000254971	lincRNA	AP003122.2
ENSG00000279299	TEC	AP000648.2
ENSG00000280385	TEC	AP000648.3
ENSG00000280367	TEC	AP002364.1
ENSG00000261645	processed_transcript	DISC1FP1
ENSG00000280430	TEC	AP002782.1
ENSG00000280085	TEC	AP001002.3
ENSG00000279209	TEC	AP001002.1
ENSG00000279438	TEC	AP001002.2
ENSG00000255187	lincRNA	AP003386.1
ENSG00000280124	TEC	AP003485.2
ENSG00000278980	TEC	AP003485.1
ENSG00000280093	TEC	AP002791.1
ENSG00000255332	lincRNA	AP003028.1
ENSG00000278859	TEC	AP002799.1
ENSG00000254705	antisense	AP000722.1
ENSG00000255506	antisense	AP003718.1
ENSG00000282916	lincRNA	AP003171.3
ENSG00000254874	lincRNA	AP003171.1
ENSG00000278892	TEC	AP002371.1
ENSG00000279304	TEC	AP003072.4
ENSG00000280379	TEC	AP003072.5
ENSG00000279269	TEC	AP003072.3
ENSG00000255233	lincRNA	AP003969.1
ENSG00000279684	TEC	AP003969.2
ENSG00000279454	TEC	AP003499.3
ENSG00000278953	TEC	AP003499.2
ENSG00000254911	antisense	SCARNA9
ENSG00000279696	TEC	AP001273.1
ENSG00000250519	lincRNA	AP002784.1
ENSG00000255893	antisense	AP000786.1
ENSG00000255929	antisense	AP000943.3
ENSG00000280167	TEC	AP000943.4
ENSG00000233536	lincRNA	AP000943.1
ENSG00000255666	lincRNA	AP000943.2
ENSG00000256469	antisense	AP002383.2
ENSG00000245552	antisense	AP000787.1
ENSG00000250390	lincRNA	AP001790.1
ENSG00000285842	lincRNA	AP000820.2
ENSG00000255605	lincRNA	AP000820.1
ENSG00000285921	lincRNA	AP000779.1
ENSG00000255679	lincRNA	JRKL-AS1
ENSG00000256684	lincRNA	AP003781.1
ENSG00000254587	lincRNA	AP003066.1
ENSG00000255039	lincRNA	LINC02553
ENSG00000255502	lincRNA	AP003730.2
ENSG00000254599	lincRNA	AP003715.1
ENSG00000254830	lincRNA	AP002428.1
ENSG00000248027	antisense	AP001351.1
ENSG00000282728	processed_transcript	PGR-AS1
ENSG00000260008	lincRNA	AP001527.1
ENSG00000277459	lincRNA	AP001527.2
ENSG00000254422	antisense	AP000942.2
ENSG00000255337	antisense	AP001830.1
ENSG00000255482	antisense	AP001830.2
ENSG00000256916	antisense	AP000851.1
ENSG00000281655	lincRNA	AP000851.2
ENSG00000260966	sense_overlapping	AP001486.2
ENSG00000285878	antisense	AP002961.1
ENSG00000254987	lincRNA	AP002989.1
ENSG00000255548	antisense	AP003043.1
ENSG00000256422	lincRNA	LINC02552
ENSG00000285813	antisense	AP000813.1
ENSG00000254433	antisense	AP001001.1
ENSG00000254580	lincRNA	AP001001.2
ENSG00000261098	lincRNA	AP000766.1
ENSG00000255467	antisense	AP002433.1
ENSG00000285696	antisense	AP002433.2
ENSG00000203334	lincRNA	AP003027.1
ENSG00000255528	lincRNA	AP003123.1
ENSG00000255028	antisense	AP003049.2
ENSG00000254659	lincRNA	AP002444.1
ENSG00000254416	lincRNA	AP000924.1
ENSG00000271390	lincRNA	AP003973.2
ENSG00000271584	lincRNA	LINC02550
ENSG00000196167	antisense	COLCA1
ENSG00000254980	antisense	AP002008.1
ENSG00000254990	lincRNA	AP001781.1
ENSG00000254638	antisense	AP002884.2
ENSG00000268472	antisense	AP002884.4
ENSG00000250303	lincRNA	AP002884.1
ENSG00000254968	lincRNA	AP003063.1
ENSG00000255484	lincRNA	AP003063.2
ENSG00000285769	lincRNA	AP003100.2
ENSG00000254626	lincRNA	AP003100.1
ENSG00000247416	antisense	AP000802.1
ENSG00000227487	antisense	NCAM1-AS1
ENSG00000255129	antisense	AP000880.1
ENSG00000256757	antisense	AP002840.1
ENSG00000256603	antisense	AP003170.4
ENSG00000256452	antisense	AP003170.3
ENSG00000256947	antisense	AP002518.2
ENSG00000256195	antisense	AP002518.1
ENSG00000256972	lincRNA	AP000462.3
ENSG00000255580	lincRNA	AP000462.1
ENSG00000256315	processed_transcript	AP000462.2
ENSG00000256281	lincRNA	AP003174.2
ENSG00000255689	lincRNA	AP003174.1
ENSG00000255599	lincRNA	AP000997.1
ENSG00000260254	lincRNA	AP000997.2
ENSG00000279771	TEC	AP000997.3
ENSG00000256717	lincRNA	AP002991.1
ENSG00000279818	TEC	AP002991.2
ENSG00000246100	lincRNA	LINC00900
ENSG00000257067	lincRNA	AP000797.3
ENSG00000236437	lincRNA	LINC02151
ENSG00000278945	TEC	AP000770.2
ENSG00000237937	lincRNA	AP000770.1
ENSG00000226645	antisense	AP006216.1
ENSG00000236267	antisense	AP006216.2
ENSG00000285513	antisense	AP006216.3
ENSG00000235910	antisense	APOA1-AS
ENSG00000224077	antisense	AP000936.1
ENSG00000280143	TEC	AP000892.3
ENSG00000278768	processed_transcript	BACE1-AS
ENSG00000250699	antisense	AP000892.1
ENSG00000279586	TEC	AP000711.1
ENSG00000270403	lincRNA	AP001554.1
ENSG00000254844	antisense	AP000757.2
ENSG00000254528	antisense	AP000757.1
ENSG00000280032	TEC	AP002800.1
ENSG00000254873	antisense	AP001267.1
ENSG00000255384	lincRNA	AP001267.2
ENSG00000255435	antisense	AP001267.3
ENSG00000255176	antisense	AP000941.1
ENSG00000255422	antisense	AP002954.1
ENSG00000278376	lincRNA	AP004609.3
ENSG00000245869	antisense	AP004609.1
ENSG00000255121	lincRNA	AP003392.4
ENSG00000254428	antisense	AP003392.1
ENSG00000255114	antisense	AP003392.3
ENSG00000271751	lincRNA	AP003392.5
ENSG00000272186	antisense	AP003392.6
ENSG00000245385	antisense	AP003396.1
ENSG00000254740	antisense	AP003396.3
ENSG00000245248	antisense	USP2-AS1
ENSG00000254561	antisense	AP003393.1
ENSG00000255247	lincRNA	AP003390.2
ENSG00000254854	antisense	AP003390.1
ENSG00000254863	lincRNA	AP001360.1
ENSG00000255216	lincRNA	AP001360.2
ENSG00000176984	antisense	AP000679.1
ENSG00000259541	antisense	AP001150.1
ENSG00000250493	antisense	AP004147.1
ENSG00000246790	antisense	AP000977.1
ENSG00000255248	processed_transcript	MIR100HG
ENSG00000255015	lincRNA	AP000755.1
ENSG00000255219	antisense	AP000755.2
ENSG00000285909	antisense	AP002762.1
ENSG00000254710	antisense	AP001970.1
ENSG00000254823	lincRNA	AP001782.1
ENSG00000254467	lincRNA	AP002765.1
ENSG00000285561	lincRNA	AP001804.1
ENSG00000255045	antisense	AP000866.5
ENSG00000250073	antisense	AP000866.2
ENSG00000245498	antisense	AP000866.1
ENSG00000254568	antisense	AP003501.1
ENSG00000254943	antisense	AP003501.2
ENSG00000285825	lincRNA	AP003501.3
ENSG00000255475	lincRNA	AP001007.2
ENSG00000254880	lincRNA	PKNOX2-AS1
ENSG00000254932	antisense	AP001007.1
ENSG00000255537	bidirectional_promoter_lncRNA	AP000708.1
ENSG00000260209	lincRNA	AP000842.3
ENSG00000255027	antisense	AP000842.2
ENSG00000254790	lincRNA	AP000842.1
ENSG00000261257	lincRNA	AP000821.1
ENSG00000254833	lincRNA	AP001893.3
ENSG00000254694	antisense	AP001893.1
ENSG00000254905	antisense	AP001318.1
ENSG00000255062	antisense	AP001318.2
ENSG00000280832	antisense	GSEC
ENSG00000257271	antisense	KIRREL3-AS1
ENSG00000254607	antisense	AP001783.1
ENSG00000254938	lincRNA	AP002833.1
ENSG00000279358	TEC	AP002833.3
ENSG00000254960	antisense	KIRREL3-AS2
ENSG00000255317	antisense	AP002833.2
ENSG00000218109	antisense	KIRREL3-AS3
ENSG00000255087	lincRNA	AP001993.1
ENSG00000272642	lincRNA	AP003121.1
ENSG00000273409	lincRNA	AP003481.1
ENSG00000273415	lincRNA	AP000904.1
ENSG00000272575	lincRNA	LINC02098
ENSG00000254588	antisense	ETS1-AS1
ENSG00000245008	bidirectional_promoter_lncRNA	AP001122.1
ENSG00000254703	antisense	SENCR
ENSG00000281386	lincRNA	AP003500.1
ENSG00000281097	lincRNA	LINC01395
ENSG00000233220	lincRNA	LINC00167
ENSG00000175773	lincRNA	AP002986.1
ENSG00000175728	lincRNA	C11orf44
ENSG00000254842	lincRNA	LINC02551
ENSG00000255455	lincRNA	AP003486.1
ENSG00000236129	lincRNA	AP002856.3
ENSG00000227125	lincRNA	AP002856.1
ENSG00000237612	lincRNA	AP002856.4
ENSG00000231698	lincRNA	AP002856.2
ENSG00000237654	antisense	AP003025.1
ENSG00000285980	antisense	AP003025.2
ENSG00000224795	lincRNA	NTM-AS1
ENSG00000238117	antisense	AP000844.2
ENSG00000224700	antisense	AP000844.1
ENSG00000279090	TEC	AP000843.1
ENSG00000279497	TEC	AP003784.1
ENSG00000279711	TEC	AP004782.1
ENSG00000279189	TEC	AP003972.1
ENSG00000255258	lincRNA	AP001979.2
ENSG00000280237	TEC	MIR4697HG
ENSG00000255406	lincRNA	AP000911.3
ENSG00000204241	lincRNA	AP000911.1
ENSG00000254648	lincRNA	AP000911.2
ENSG00000255348	antisense	AP001775.2
ENSG00000255545	processed_transcript	AP004608.1
ENSG00000254573	lincRNA	AP004550.1
ENSG00000254989	lincRNA	AP001999.2
ENSG00000285640	lincRNA	AP001999.4
ENSG00000255344	lincRNA	AP001999.3
ENSG00000251226	lincRNA	AP001999.1
ENSG00000255327	lincRNA	AP003062.1
ENSG00000279046	TEC	AP003062.2
ENSG00000285735	lincRNA	AP003062.3
ENSG00000255512	lincRNA	AP005135.1
ENSG00000249054	lincRNA	FAM138D
ENSG00000256948	antisense	AC026369.3
ENSG00000249695	antisense	AC026369.1
ENSG00000256694	antisense	AC026369.2
ENSG00000256540	lincRNA	AC007406.3
ENSG00000255671	antisense	AC007406.1
ENSG00000256577	antisense	AC007406.4
ENSG00000261799	sense_overlapping	AC007406.5
ENSG00000255825	antisense	AC006205.1
ENSG00000177406	antisense	AC021054.1
ENSG00000256672	lincRNA	LINC02455
ENSG00000285704	antisense	AC004765.1
ENSG00000250132	antisense	AC004803.1
ENSG00000249028	antisense	AC004672.1
ENSG00000249628	lincRNA	LINC00942
ENSG00000285627	antisense	AC005343.1
ENSG00000256706	antisense	AC005342.2
ENSG00000235049	lincRNA	LINC00940
ENSG00000203593	antisense	AC005342.1
ENSG00000278255	antisense	AC005344.1
ENSG00000256025	antisense	CACNA1C-AS4
ENSG00000285555	antisense	AC005293.1
ENSG00000285734	antisense	AC005414.1
ENSG00000256769	antisense	CACNA1C-AS3
ENSG00000256271	antisense	CACNA1C-AS2
ENSG00000246627	antisense	CACNA1C-AS1
ENSG00000256150	processed_transcript	AC092471.1
ENSG00000274659	lincRNA	LINC02371
ENSG00000258325	antisense	ITFG2-AS1
ENSG00000258092	antisense	AC005841.1
ENSG00000250899	lincRNA	AC125807.2
ENSG00000236908	lincRNA	AC005865.1
ENSG00000257048	lincRNA	LINC02417
ENSG00000256691	antisense	AC005908.2
ENSG00000280202	TEC	AC005831.1
ENSG00000283138	antisense	AC006207.1
ENSG00000256862	antisense	AC005842.1
ENSG00000256969	lincRNA	AC007207.2
ENSG00000255920	processed_transcript	CCND2-AS1
ENSG00000255474	lincRNA	GAU1
ENSG00000256988	lincRNA	AC005833.2
ENSG00000256654	processed_transcript	AC005906.2
ENSG00000284513	lincRNA	AC006063.2
ENSG00000285523	lincRNA	AC005906.3
ENSG00000256115	lincRNA	LINC02443
ENSG00000256417	lincRNA	AC006206.2
ENSG00000256146	lincRNA	AC006206.1
ENSG00000256218	lincRNA	AC007848.2
ENSG00000255983	lincRNA	AC007848.1
ENSG00000255775	lincRNA	AC005845.1
ENSG00000256433	lincRNA	AC005840.2
ENSG00000215039	processed_transcript	CD27-AS1
ENSG00000276718	antisense	AC005840.4
ENSG00000255966	antisense	AC006064.3
ENSG00000269968	antisense	AC006064.4
ENSG00000245667	antisense	AC006064.1
ENSG00000247853	antisense	AC006064.2
ENSG00000219410	bidirectional_promoter_lncRNA	AC125494.1
ENSG00000270068	antisense	AC125494.3
ENSG00000269892	lincRNA	AC125494.2
ENSG00000275703	lincRNA	U47924.3
ENSG00000272173	antisense	U47924.2
ENSG00000257084	lincRNA	MIR200CHG
ENSG00000271969	antisense	U47924.1
ENSG00000205885	antisense	C1RL-AS1
ENSG00000276144	lincRNA	AC233309.1
ENSG00000256967	antisense	AC018653.3
ENSG00000285770	antisense	AC018653.4
ENSG00000255572	antisense	AC018653.1
ENSG00000282080	lincRNA	AC006511.4
ENSG00000279865	TEC	AC006511.3
ENSG00000284697	processed_transcript	AC006511.5
ENSG00000226711	antisense	FAM66C
ENSG00000276417	lincRNA	AC092111.2
ENSG00000275367	lincRNA	AC092111.1
ENSG00000215241	lincRNA	LINC02449
ENSG00000226091	lincRNA	LINC00937
ENSG00000256101	lincRNA	AC092745.1
ENSG00000255801	lincRNA	AC092746.1
ENSG00000280345	TEC	AC092184.1
ENSG00000255829	antisense	AC092490.2
ENSG00000256661	antisense	A2ML1-AS1
ENSG00000249790	lincRNA	AC092490.1
ENSG00000256904	antisense	A2ML1-AS2
ENSG00000282022	antisense	AC006581.2
ENSG00000257105	antisense	AC006581.1
ENSG00000214851	processed_transcript	LINC00612
ENSG00000245105	antisense	A2M-AS1
ENSG00000237248	lincRNA	LINC00987
ENSG00000256427	lincRNA	AC010175.1
ENSG00000260423	lincRNA	LINC02367
ENSG00000284634	processed_transcript	AC092821.3
ENSG00000272917	processed_transcript	AC010186.4
ENSG00000256442	antisense	AC010186.1
ENSG00000256582	lincRNA	LINC02390
ENSG00000255882	antisense	AC091814.1
ENSG00000225231	lincRNA	LINC02470
ENSG00000231560	lincRNA	CLEC12A-AS1
ENSG00000256803	antisense	AC024224.2
ENSG00000255958	antisense	AC115676.1
ENSG00000256288	lincRNA	AC022075.2
ENSG00000256155	lincRNA	LINC02598
ENSG00000245648	antisense	AC022075.1
ENSG00000256039	lincRNA	LINC02446
ENSG00000256888	lincRNA	LINC02366
ENSG00000275119	lincRNA	AC244131.2
ENSG00000256237	lincRNA	AC007450.1
ENSG00000247157	lincRNA	LINC01252
ENSG00000205791	lincRNA	LOH12CR2
ENSG00000255670	lincRNA	AC007619.1
ENSG00000275963	lincRNA	AC008115.4
ENSG00000257004	lincRNA	AC008115.2
ENSG00000256658	antisense	AC008115.1
ENSG00000247498	antisense	GPRC5D-AS1
ENSG00000256011	antisense	AC007688.2
ENSG00000255621	lincRNA	AC023790.2
ENSG00000180861	lincRNA	LINC01559
ENSG00000256306	processed_transcript	AC007527.1
ENSG00000277935	lincRNA	AC007527.2
ENSG00000256084	lincRNA	AC092112.1
ENSG00000255649	antisense	AC008114.1
ENSG00000256751	antisense	PLBD1-AS1
ENSG00000214772	antisense	AC010168.1
ENSG00000261324	sense_overlapping	AC010168.2
ENSG00000256339	antisense	AC007655.1
ENSG00000255727	lincRNA	LINC01489
ENSG00000255660	lincRNA	RERG-AS1
ENSG00000255565	lincRNA	AC073651.1
ENSG00000256564	antisense	AC007552.2
ENSG00000283240	lincRNA	AC007529.2
ENSG00000255871	lincRNA	AC007529.1
ENSG00000285724	lincRNA	AC092110.1
ENSG00000256994	lincRNA	LINC02378
ENSG00000256389	lincRNA	AC087321.1
ENSG00000255648	antisense	AC087242.1
ENSG00000255910	lincRNA	AC024901.1
ENSG00000256287	lincRNA	LINC02398
ENSG00000256499	lincRNA	LINC02468
ENSG00000256879	antisense	AC129102.1
ENSG00000256615	antisense	AC010197.1
ENSG00000255644	antisense	AC010185.1
ENSG00000257022	antisense	AC008250.1
ENSG00000256714	lincRNA	AC087318.1
ENSG00000256973	lincRNA	AC053513.1
ENSG00000250166	lincRNA	AC087241.1
ENSG00000257023	antisense	AC087241.3
ENSG00000256995	lincRNA	AC084816.1
ENSG00000256923	lincRNA	AC084819.1
ENSG00000256321	lincRNA	AC087258.1
ENSG00000115934	lincRNA	AC087235.1
ENSG00000256473	antisense	AC087260.1
ENSG00000256120	lincRNA	SOX5-AS1
ENSG00000197503	lincRNA	LINC00477
ENSG00000255745	lincRNA	AC023796.1
ENSG00000256482	antisense	AC023796.2
ENSG00000278969	TEC	AC026310.3
ENSG00000255921	antisense	AC026310.2
ENSG00000226397	lincRNA	C12orf77
ENSG00000258449	antisense	AC023510.1
ENSG00000276842	antisense	AC023510.2
ENSG00000274987	antisense	AC092794.1
ENSG00000275197	antisense	AC092794.2
ENSG00000278743	lincRNA	AC087239.1
ENSG00000279173	TEC	AC092451.3
ENSG00000256686	lincRNA	AC019209.3
ENSG00000256440	lincRNA	AC019209.2
ENSG00000256256	lincRNA	AC019209.1
ENSG00000246695	antisense	RASSF8-AS1
ENSG00000256894	antisense	AC022509.3
ENSG00000256234	antisense	AC022509.2
ENSG00000255750	antisense	AC022509.1
ENSG00000278095	antisense	AC022509.4
ENSG00000255858	lincRNA	AC055720.1
ENSG00000255968	antisense	AC024145.1
ENSG00000256185	3prime_overlapping_ncRNA	AC055720.2
ENSG00000234428	antisense	AC023051.1
ENSG00000247903	antisense	AC024896.1
ENSG00000275764	lincRNA	AC092747.4
ENSG00000256226	lincRNA	AC092747.1
ENSG00000245311	antisense	ARNTL2-AS1
ENSG00000248100	lincRNA	AC087257.1
ENSG00000256377	antisense	AC009509.1
ENSG00000276261	antisense	AC009509.4
ENSG00000256504	lincRNA	AC009509.2
ENSG00000256747	antisense	AC009511.2
ENSG00000256512	antisense	AC009511.1
ENSG00000257042	antisense	AC008011.2
ENSG00000247934	antisense	AC022364.1
ENSG00000278733	antisense	AC022079.2
ENSG00000256513	lincRNA	AC022081.1
ENSG00000257258	lincRNA	AC012150.1
ENSG00000275278	antisense	AC012150.2
ENSG00000275476	antisense	AC009318.4
ENSG00000257176	antisense	AC009318.1
ENSG00000274315	antisense	AC009318.3
ENSG00000273680	antisense	AC009318.2
ENSG00000257599	antisense	OVCH1-AS1
ENSG00000257456	antisense	AC009320.1
ENSG00000257262	lincRNA	AC023511.1
ENSG00000257756	lincRNA	LINC02386
ENSG00000257932	lincRNA	AC078776.1
ENSG00000285870	lincRNA	AC012673.1
ENSG00000246331	lincRNA	AC010198.1
ENSG00000235884	lincRNA	LINC00941
ENSG00000285517	lincRNA	LINC00941
ENSG00000245614	antisense	DDX11-AS1
ENSG00000275097	3prime_overlapping_ncRNA	AC024940.5
ENSG00000177340	antisense	FLJ13224
ENSG00000256232	lincRNA	LINC02387
ENSG00000255867	antisense	DENND5B-AS1
ENSG00000276900	antisense	AC023157.3
ENSG00000255760	lincRNA	LINC02422
ENSG00000276136	lincRNA	AC016957.2
ENSG00000257530	antisense	AC048344.1
ENSG00000276148	antisense	AC084824.5
ENSG00000257435	lincRNA	AC087311.2
ENSG00000245482	antisense	AC046130.1
ENSG00000256538	lincRNA	AC046130.2
ENSG00000255628	lincRNA	AC140847.1
ENSG00000255652	lincRNA	AC140847.2
ENSG00000258119	lincRNA	AC087897.2
ENSG00000257718	antisense	CPNE8-AS1
ENSG00000258144	lincRNA	LINC02406
ENSG00000285732	antisense	AC121334.3
ENSG00000260943	lincRNA	LINC02555
ENSG00000223914	lincRNA	LINC02471
ENSG00000225342	antisense	AC079630.1
ENSG00000258167	antisense	AC107023.1
ENSG00000257228	antisense	AC090531.1
ENSG00000257784	lincRNA	LINC02400
ENSG00000257239	lincRNA	AC090630.1
ENSG00000257225	antisense	AC079601.1
ENSG00000257510	lincRNA	LINC02402
ENSG00000257164	lincRNA	LINC02451
ENSG00000257114	lincRNA	LINC02450
ENSG00000257849	lincRNA	AC012038.2
ENSG00000257373	lincRNA	AC012038.1
ENSG00000258331	lincRNA	LINC02461
ENSG00000257947	antisense	AC025030.2
ENSG00000275286	lincRNA	AC025253.1
ENSG00000257319	antisense	AC008127.1
ENSG00000257657	lincRNA	AC079950.1
ENSG00000273015	lincRNA	AC008124.1
ENSG00000258096	antisense	AC025031.2
ENSG00000257261	lincRNA	AC008014.1
ENSG00000257496	lincRNA	AC025031.1
ENSG00000275481	lincRNA	AC025031.4
ENSG00000278896	TEC	AC025031.5
ENSG00000272369	lincRNA	AC008035.1
ENSG00000274723	lincRNA	AC079906.1
ENSG00000247774	processed_transcript	PCED1B-AS1
ENSG00000257925	antisense	AC008083.1
ENSG00000258181	lincRNA	AC008083.2
ENSG00000276454	lincRNA	AC008083.3
ENSG00000257924	lincRNA	LINC02416
ENSG00000257906	lincRNA	LINC02156
ENSG00000257433	antisense	AC004241.1
ENSG00000280054	TEC	AC004241.5
ENSG00000274902	lincRNA	AC004241.2
ENSG00000268069	antisense	AC004466.1
ENSG00000276691	antisense	AC004466.3
ENSG00000257488	lincRNA	LINC02354
ENSG00000205537	antisense	AC121338.1
ENSG00000278385	lincRNA	AC121338.2
ENSG00000279840	TEC	AC004801.7
ENSG00000258203	lincRNA	AC004801.5
ENSG00000257985	antisense	AC004801.4
ENSG00000257955	lincRNA	AC004801.3
ENSG00000276814	lincRNA	AC004801.6
ENSG00000274124	antisense	AC074029.3
ENSG00000279875	TEC	AC074029.4
ENSG00000269514	antisense	AC024257.3
ENSG00000258234	lincRNA	AC024257.1
ENSG00000275228	lincRNA	AC024257.5
ENSG00000257735	antisense	AC090115.1
ENSG00000273765	lincRNA	AC024257.4
ENSG00000258121	antisense	AC089987.2
ENSG00000257653	antisense	AC117498.1
ENSG00000257660	lincRNA	AC117498.2
ENSG00000258283	antisense	AC011603.3
ENSG00000257913	antisense	DDN-AS1
ENSG00000257346	antisense	AC011603.1
ENSG00000258017	antisense	AC011603.2
ENSG00000258101	antisense	AC010173.1
ENSG00000258232	antisense	AC125611.3
ENSG00000258334	antisense	AC125611.4
ENSG00000257964	antisense	AC020612.3
ENSG00000258057	antisense	BCDIN3D-AS1
ENSG00000257253	lincRNA	AC131157.1
ENSG00000258135	lincRNA	LINC02396
ENSG00000257771	lincRNA	LINC02395
ENSG00000257588	antisense	AC025154.2
ENSG00000257378	antisense	AC025154.1
ENSG00000272368	antisense	AC074032.1
ENSG00000257256	antisense	AC008147.1
ENSG00000274156	lincRNA	AC008121.2
ENSG00000274797	antisense	AC008121.3
ENSG00000271065	antisense	AC107031.1
ENSG00000260122	lincRNA	AC068987.2
ENSG00000260473	lincRNA	AC068987.3
ENSG00000261586	lincRNA	AC068987.4
ENSG00000259887	lincRNA	AC068987.1
ENSG00000259884	lincRNA	AC025259.3
ENSG00000257663	antisense	AC025259.1
ENSG00000257989	lincRNA	AC078864.1
ENSG00000258279	lincRNA	LINC00592
ENSG00000257137	lincRNA	C12orf80
ENSG00000257671	antisense	KRT7-AS
ENSG00000257830	antisense	AC021066.1
ENSG00000257829	antisense	AC121757.1
ENSG00000258253	antisense	AC078865.1
ENSG00000257500	antisense	AC055736.1
ENSG00000257495	antisense	KRT73-AS1
ENSG00000257700	antisense	AC055716.3
ENSG00000257337	antisense	AC068888.1
ENSG00000257808	lincRNA	AC073573.1
ENSG00000257605	antisense	AC073611.1
ENSG00000257379	processed_transcript	AC023509.1
ENSG00000282977	non_coding	PCBP2-OT1
ENSG00000270175	antisense	AC023509.4
ENSG00000257550	antisense	AC023509.2
ENSG00000285692	antisense	AC023509.6
ENSG00000260492	lincRNA	CISTR
ENSG00000260030	lincRNA	AC076968.1
ENSG00000249641	antisense	HOXC13-AS
ENSG00000228630	antisense	HOTAIR
ENSG00000251151	processed_transcript	HOXC-AS3
ENSG00000250133	processed_transcript	HOXC-AS2
ENSG00000250451	antisense	HOXC-AS1
ENSG00000273046	processed_transcript	HOXC5
ENSG00000260597	lincRNA	AC012531.1
ENSG00000248265	lincRNA	FLJ12825
ENSG00000249388	lincRNA	AC023794.2
ENSG00000250432	lincRNA	FAM242C
ENSG00000250742	lincRNA	LINC02381
ENSG00000283073	lincRNA	SMUG1-AS1
ENSG00000260470	lincRNA	AC023794.5
ENSG00000257534	lincRNA	AC023794.4
ENSG00000248576	antisense	AC023794.1
ENSG00000257596	antisense	AC078778.1
ENSG00000258344	sense_overlapping	AC078778.2
ENSG00000258137	antisense	AC079313.2
ENSG00000258086	antisense	AC079313.1
ENSG00000257477	lincRNA	LINC01154
ENSG00000257824	antisense	AC068789.1
ENSG00000257634	lincRNA	AC079310.1
ENSG00000257870	lincRNA	AC027287.2
ENSG00000258763	antisense	AC122685.1
ENSG00000258921	antisense	AC009779.4
ENSG00000258056	antisense	AC009779.2
ENSG00000258554	antisense	AC025162.1
ENSG00000273890	antisense	AC034102.8
ENSG00000257449	antisense	AC034102.3
ENSG00000257553	antisense	AC034102.4
ENSG00000258345	antisense	AC034102.7
ENSG00000258317	antisense	AC034102.6
ENSG00000257809	antisense	AC034102.5
ENSG00000258199	sense_overlapping	AC073896.4
ENSG00000258260	antisense	AC073896.5
ENSG00000257303	antisense	AC073896.2
ENSG00000257740	antisense	AC073896.3
ENSG00000276272	lincRNA	AC024884.2
ENSG00000259125	antisense	LRP1-AS
ENSG00000276727	antisense	AC137834.2
ENSG00000258001	lincRNA	AC126614.1
ENSG00000224713	antisense	AC025165.1
ENSG00000257342	antisense	AC025165.2
ENSG00000255737	antisense	AGAP2-AS1
ENSG00000270039	lincRNA	AC025165.5
ENSG00000269903	lincRNA	AC025165.4
ENSG00000257953	antisense	AC083805.2
ENSG00000245651	lincRNA	AC083805.1
ENSG00000273805	antisense	AC083805.3
ENSG00000257698	lincRNA	AC084033.3
ENSG00000257541	lincRNA	LINC02403
ENSG00000279134	TEC	AC090643.1
ENSG00000279411	TEC	AC090643.2
ENSG00000258231	lincRNA	AC020637.1
ENSG00000257259	lincRNA	LINC02388
ENSG00000257443	antisense	AC068305.2
ENSG00000258214	lincRNA	AC108721.1
ENSG00000257230	lincRNA	LINC02448
ENSG00000257294	lincRNA	AC080011.1
ENSG00000257568	antisense	AC079035.1
ENSG00000221949	lincRNA	LINC01465
ENSG00000257354	lincRNA	AC048341.1
ENSG00000275180	lincRNA	AC048341.2
ENSG00000257235	lincRNA	AC078814.1
ENSG00000279444	TEC	AC135584.1
ENSG00000258117	lincRNA	AC026116.1
ENSG00000249753	antisense	AC084357.2
ENSG00000255850	antisense	RXYLT1-AS1
ENSG00000255886	antisense	AC020611.2
ENSG00000255817	antisense	AC025576.2
