genes	logFC	logCPM	LR	PValue	FDR	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	N11	N12	N13	N14	N15	N16	N17	IRI1	IRI2	IRI3	IRI4	IRI5	IRI6	IRI7	IRI8	IRI9	IRI10	IRI11	IRI12	IRI13	IRI14	IRI15	IRI16	IRI17	IRI18	IRI19	IRI20	IRI21	IRI22	IRI23
NOS2	1.94421396772229	-1.24104130621116	6.062400440769	0.013808986129723	0.342770870075708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
SHISA6	2.18358292325631	-3.29001373408352	6.04609533798014	0.0139370840209975	0.34309686957556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	1	0
CLCN1	1.41978771102115	-1.93015632727496	6.04113088259153	0.01397632859292	0.34309686957556	11	2	11	14	423	3	6	12	21	4	2	2	1	1	7	0	24	2	3	25	0	13	19	23	9	14	8	0	0	1	6	6	26	8	3	9	6	13	3	7
SPDYE1	1.76185722891164	-3.35152754270962	6.03982198493964	0.0139866945015535	0.34309686957556	17	5	7	4	8	14	4	13	19	13	11	9	21	13	4	1	0	41	37	12	8	15	6	14	13	15	14	10	11	10	9	41	3	30	34	13	22	14	25	19
SPHKAP	-1.46680651865595	-3.40473305353145	6.03199743461891	0.0140488267882951	0.34309686957556	14	14	10	18	51	23	14	33	7	14	8	20	25	40	13	21	0	53	38	51	8	27	20	13	32	27	27	8	9	16	40	271	18	58	40	14	44	6	50	11
IL2	-1.46673625066867	-3.40473399485466	6.0292219061429	0.0140709345584848	0.34309686957556	2	2	0	1	0	2	0	0	1	1	0	1	4	4	0	0	0	0	1	12	0	0	1	0	0	2	2	0	0	2	6	15	1	1	2	0	6	0	4	2
DUOX1	1.5896712712127	-1.10611476703249	6.0183457281224	0.0141579115548214	0.344363163102604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFSF15	1.39747436295274	-1.06906149398402	6.00067748121128	0.0143003860319005	0.345641997001815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C9orf57	-1.45642853945702	-3.40550633539594	5.99875072874518	0.0143160120876954	0.345641997001815	32	651	8	69	110	26	220	129	27	91	693	801	357	354	144	3280	39	88	85	14988	236	956	386	365	258	1373	804	1684	8	270	190	2368	349	645	252	1008	453	270	1018	17
INSM1	-1.45642853945702	-3.40550633539594	5.99875072874518	0.0143160120876954	0.345641997001815	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRHR	-1.45642853945702	-3.40550633539594	5.99875072874518	0.0143160120876954	0.345641997001815	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMA8	-1.45411452713055	-3.40567874854981	5.99125708140842	0.0143769532009889	0.346687437127651	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFITM5	2.17159453188385	-3.30060552646536	5.97819735188597	0.0144837986821882	0.346734669832826	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RGL4	1.21554207011655	0.9802912830431	5.9764967166725	0.0144977720985429	0.346734669832826	67	39	45	40	22	71	56	86	111	82	42	91	89	92	62	81	84	50	49	14	23	83	71	62	65	133	54	152	48	71	43	99	81	4905	59	75	33	48	80	71
C9orf152	-1.26730706919694	0.355741916361311	5.9728702463787	0.0145276156696228	0.346734669832826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0
TNFRSF10C	1.26714912625433	2.47441159089397	5.9706694850047	0.0145457573775431	0.346734669832826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL121758.1	-1.44717803654277	-3.40619596342373	5.96886432208572	0.0145606554263036	0.346734669832826	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHRFAM7A	-1.44271638801673	-3.4065287415143	5.95441759466911	0.0146804519155519	0.347005155184095	0	2	2	0	0	4	0	7	2	5	2	3	2	0	0	0	0	0	2	1	0	0	1	1	0	0	1	2	0	0	3	0	0	0	0	0	1	1	1	0
KRT83	-1.44271638801673	-3.4065287415143	5.95441759466911	0.0146804519155519	0.347005155184095	2	0	2	2	0	0	0	0	4	11	0	0	10	2	0	0	0	1	1	5	0	5	1	0	5	0	1	7	6	0	8	5	5	3	49	2	3	2	2	0
RIPOR2	1.02702380199982	3.86574172529799	5.93075890538225	0.0148788328279775	0.347860476514617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OCM	1.9641189774798	-3.32168549177281	5.87418247673175	0.0153645059663757	0.350715332829304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
SERPINB2	1.89737860389963	-0.684850060697952	5.87042167870102	0.0153973632593115	0.350715332829304	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP6V0A4	2.00619180361939	-3.31900294735324	5.85375903018494	0.0155438144451788	0.352751253222979	10	222	6	197	29	29	17	10	25	141	19	43	34	39	10	6	54	198	8	4	16	34	203	143	30	258	100	19	37	181	58	37	183	11	156	179	10	450	30	27
C2orf73	2.12879663488526	-3.31287159071541	5.85051219580191	0.0155725181514723	0.352932598614336	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HJURP	-1.52385529648302	-0.534901201226334	5.84651843007165	0.0156079000371981	0.352982807170372	0	1	0	16	2	0	5	15	0	1	0	1	2	2	15	4	0	3	61	7	0	4	2	0	10	1	0	7	6	7	5	16	1	9	10	9	1	0	94	0
RRAD	1.37465381986616	2.75608805831137	5.83384778680889	0.0157207020600536	0.354717517320589	24	11	2	31	29	6	24	146	78	35	54	22	25	42	64	139	46	93	32	17	25	96	184	5	146	69	7	24	66	30	54	258	80	246	241	308	42	110	74	37
LPL	1.09645916483675	0.187650220720906	5.81910016258212	0.0158530532602711	0.35513884308291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0
PRR32	1.65000261930337	-3.36537744297247	5.80383967341314	0.015991216457567	0.356321289161638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
INKA1	-1.05505862767593	-1.89972834181078	5.77957242431879	0.0162134850972053	0.359237455034245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	4	0	0	0
PLA2G2C	1.62192840291339	-3.36763099027866	5.77419102282485	0.016263204394671	0.359528409413352	2	9	1	24	10	12	8	5	1	7	13	10	34	13	19	14	1	55	26	10	9	21	9	6	20	22	14	13	7	17	28	59	13	22	38	10	31	17	42	2
TCL1A	-1.84508893424748	-3.04288913107812	5.75839141702024	0.0164100887106868	0.359627096672348	1285	755	758	1344	427	2074	253	896	2095	3025	489	600	23417	1372	1098	1780	468	611	1788	1080	137	1211	263	1526	1440	1935	248	824	1111	396	510	293	299	204	765	982	1755	1007	1131	1212
AL928654.3	1.69663420688294	-3.36241715080965	5.75532736500463	0.016438732291948	0.359627096672348	7	7	4	6	1	4	0	13	4	2	2	1	24	1	7	2	9	1	8	6	0	1	0	3	3	7	2	1	3	0	2	3	2	1	2	1	0	1	10	6
HSPA6	1.51503500983741	5.27228492295591	5.72993821454151	0.0166780694021165	0.359627096672348	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TREM1	1.24582225776047	2.93599698574496	5.70271957494587	0.0169386473506878	0.360157637485995	3	2	0	0	0	2	0	2	8	1	0	0	0	0	0	0	3	9	8	2	0	1	3	4	0	3	1	0	3	6	1	4	6	3	0	0	4	4	0	6
NECAB1	1.5207934046139	-2.79032217993004	5.67022725526738	0.0172552205628441	0.3617046183449	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCDHA13	-1.78597915963351	-1.82878054744618	5.66655406831276	0.0172913905127721	0.361738741012537	0	103	60	0	0	14	0	3	362	12	7	33	173	22	0	12	12	31	28	7	6	6	31	14	25	20	5	19	5	10	111	8	27	12	12	2	2	23	19	5
SAG	1.72730000414827	-3.18194111238047	5.64246497095081	0.0175305434845106	0.363069709860252	2	2	0	0	3	0	0	0	0	2	0	5	3	2	2	0	0	3	3	3	0	1	8	4	1	1	6	1	2	5	0	5	0	6	2	3	4	0	0	2
ATP12A	2.31549520872496	-3.08676981039193	5.64184241320939	0.0175367691981801	0.363069709860252	0	1	22	26	6	40	0	15	61	69	16	19	33	23	5	17	0	208	545	13	38	13	30	13	25	13	13	23	4	9	65	110	28	159	9	36	44	12	443	20
NKX2-6	1.99319609681436	-3.32976341902257	5.64048924167389	0.0175503090809159	0.363069709860252	92	292	43	359	561	180	1093	527	515	830	341	1539	435	728	414	366	43	2091	1498	1106	275	793	217	365	661	374	421	260	370	838	937	5773	528	1350	481	510	1046	470	1515	169
PRDM8	1.57578098600295	0.112959058594975	5.63158263538332	0.0176396985401911	0.363330485705012	48	22	13	78	84	17	20	65	61	214	37	99	230	120	93	65	5	245	432	14	21	129	42	42	155	43	36	55	19	98	152	521	80	141	164	97	217	53	451	29
KCTD19	-1.73872261355574	-3.26904367147251	5.62819329660806	0.0176738383114024	0.363330485705012	0	2	4	4	2	8	0	5	21	21	2	10	12	17	5	6	2	11	10	13	2	10	2	0	4	24	0	93	9	0	8	1	37	27	5	12	7	12	46	9
CLEC18A	1.50483439507703	-2.97598485347074	5.61380676355824	0.0178195103272705	0.365012885125346	1	0	0	0	1	0	0	0	0	0	0	0	1	2	0	1	0	0	3	0	0	1	0	0	0	0	1	1	3	0	1	0	0	4	0	1	0	0	14	1
AURKB	-1.01358764905938	-0.254174996921454	5.61277859802171	0.0178299684384233	0.365012885125346	9	8	6	3	10	0	5	0	6	21	6	11	6	9	6	10	0	4	0	9	0	4	5	6	4	3	7	0	1	2	2	1	8	2	5	2	3	2	2	3
ZCCHC18	1.4634188171117	-2.79496611459902	5.60599783344412	0.0178990986857647	0.365024653720797	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	2	0	0	2	0	2	0	0	0	1	0
POU2F3	1.54604520549006	-1.77305664034397	5.58388354922505	0.018126484040757	0.366557435986892	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	3	0	5	1	0	0	0	0	0	2	0	1	0	1	1	0	1	1	3	1	0	2	0
EGFL6	1.85103965802418	-3.3370866847656	5.58293094294127	0.0181363457542769	0.366557435986892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3
USP29	-2.17736088103462	-3.34641666407384	5.57376252858549	0.0182315441207171	0.366557435986892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	2	3	0	0	0	0	0	0	2	0	0	1	1	0
CLVS2	-2.25189425872159	-3.09140751648006	5.57214984794304	0.0182483423529601	0.366557435986892	1	1	4	6	9	5	6	16	19	26	2	69	18	13	12	10	5	84	23	11	7	29	6	7	11	13	11	5	4	37	27	104	14	98	12	12	40	17	68	5
KCNG2	1.60254118201368	-3.05616736653494	5.56858586111389	0.0182855227729468	0.366557435986892	3	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MUCL3	-2.07951394834378	-3.33985862393122	5.56569405283063	0.018315748340667	0.366557435986892	0	0	0	3	2	2	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VNN2	1.03142289405689	3.52707488242799	5.54968909570486	0.0184839699010237	0.368220136549637	1	40	62	6	2	5	7	3	123	6	2	4	19	24	3	8	0	8	7	1	0	5	11	9	31	15	0	6	0	12	41	2	14	8	8	5	6	14	5	4
IL31	1.87317564495294	-3.33593667966529	5.54613367664507	0.0185215555918527	0.368220136549637	3	11	3	43	0	10	4	6	7	16	18	9	8	10	7	14	0	127	841	2	0	18	13	0	1	14	3	0	0	11	19	9	5	18	11	8	2	8	9	17
CLEC9A	-1.7800110111905	-3.09808807177676	5.54396075389649	0.0185445652441288	0.368220136549637	81	36	34	89	27	107	20	42	228	84	17	95	250	116	21	29	27	515	1436	62	47	50	35	26	40	69	70	58	84	60	161	98	32	96	67	32	61	23	290	107
JPH1	1.19176042668589	-0.725054039981184	5.54356897837445	0.0185487169991421	0.368220136549637	0	0	0	0	1	0	0	0	0	3	1	2	0	0	0	0	0	3	1	4	0	1	0	1	1	5	0	0	2	3	2	0	0	1	2	2	0	0	0	0
REM1	-1.06371152292294	-1.3893280977616	5.5142474948607	0.0188621861614876	0.368716716977513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	2	0	0	0	0	2	0	1	0	1	0	0	0	0	3	0
LGI2	1.11460505739036	-0.477361807704144	5.5068837194884	0.0189417670438595	0.368716716977513	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCNB2	-1.40930411215929	-0.736752932411462	5.4960694048964	0.0190592675530616	0.368716716977513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0
CENPF	-1.03758146022198	0.740928288293879	5.49440309737936	0.0190774392992917	0.368716716977513	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMP8A	1.3936358870516	-2.64681050476154	5.49432707257252	0.0190782688069795	0.368716716977513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10	2.06173317357805	-3.17186472941383	5.43489037481164	0.0197383295923248	0.372997491805731	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EN2	1.85340525213431	-2.98247329169907	5.43295646922061	0.0197601985016626	0.373052047217267	0	0	0	0	0	1	0	0	1	1	1	3	1	0	0	0	0	3	1	0	0	0	1	2	0	4	4	5	0	1	0	0	4	0	2	0	0	2	0	1
THEG	1.83313920382398	-3.34738389099859	5.41837025134152	0.0199259509402644	0.373345042416757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2
PLAC1	1.8152012638162	-3.34809254677216	5.41089832457696	0.0200114154062095	0.373345042416757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	3	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1
CILP2	1.02441498914532	-0.900941402611855	5.37877607601904	0.020383172871619	0.375788458204436	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPATC1	1.24328961629591	-1.91127925689	5.36607387709498	0.0205321424581848	0.376407750449593	2	1	0	6	7	0	0	2	1	70	5	10	8	1	8	3	6	5	4	1	4	0	0	2	3	2	2	2	5	1	2	2	2	2	1	7	1	0	1	0
IQUB	1.11616111689145	-2.46197966761475	5.33497538234885	0.0209016353249403	0.379834917431018	8	0	3	16	0	3	4	20	2	34	1	9	9	4	5	13	8	24	25	11	0	6	5	10	32	12	40	8	4	4	0	54	15	13	29	25	3	20	58	4
CLGN	-1.14183276580987	2.07439944770825	5.33216591077976	0.0209353528418449	0.379909962512261	2	0	0	0	2	3	8	5	2	1	4	8	0	2	6	0	0	7	4	17	0	4	0	1	3	5	0	4	2	1	8	36	3	7	1	8	9	2	8	1
GRIN2A	1.99474899511735	-3.15582969260081	5.3139536487462	0.021155294635699	0.381435784839809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
PI15	1.63065801217528	-2.02492476163677	5.29886813101083	0.0213392866148193	0.383346434955251	0	0	0	7	4	2	34	1	4	2	4	29	0	8	15	3	0	14	9	13	0	10	7	6	7	7	1	0	5	3	12	243	3	46	2	10	2	1	3	0
LYPD8	1.73863435937942	-3.36110732723707	5.29425479970192	0.0213958837093196	0.383733400015227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
FBXO40	1.74254451310661	-3.12084181894233	5.27339023646512	0.0216538011425261	0.384784091855802	30	31	60	118	39	94	31	49	244	329	45	207	287	140	18	48	7	182	116	41	26	103	67	49	94	55	52	25	36	65	324	115	485	2949	249	55	110	48	216	88
NKAIN1	2.25141670590544	-3.17626176269338	5.27177990460345	0.0216738406189575	0.384784091855802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	1	0	0	0	4	0	0	0	0	0	0	2	0	0	0	2	1	0	13	0
TSPAN16	-1.86387691500814	-3.36855968083343	5.25613179567391	0.0218695735802167	0.386861142729072	12	11	3	2	20	3	10	3	53	22	19	84	6	3	8	7	0	66	84	20	6	12	12	6	13	19	13	28	4	21	24	65	22	238	8	9	11	4	39	5
ODAPH	1.83566764709321	-3.24326230911583	5.23782841579691	0.0221008448343748	0.386911112610809	0	0	0	0	2	8	1	399	0	0	1	826	0	0	16	0	0	5	4	0	9	0	0	0	0	2	0	0	0	1	2	16	2	0	1	0	0	0	25	0
C12orf56	-2.14335873170838	-3.22930295175668	5.23510528063015	0.0221354687201977	0.386911112610809	31	11	22	15	11	30	2	25	10	17	5	12	22	24	26	20	9	163	47	40	11	7	74	71	8	27	19	68	22	3	44	3	50	21	35	20	37	1	53	39
C12orf40	1.76169519398713	-3.36025519884718	5.23088038149806	0.0221892983639939	0.386911112610809	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QL4	1.70679719857353	-3.35408907552365	5.22420806136131	0.0222745870806461	0.386911112610809	14	2	0	8	1	4	4	0	0	9	4	2	5	5	0	0	3	0	1	1	0	0	0	0	1	5	1	0	10	3	4	1	1	0	3	1	0	0	0	1
CBLN3	1.06201281326294	0.698411972045578	5.20899938252676	0.0224702633180359	0.387036007878491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
HAS1	1.15923865875246	-0.175080478114657	5.18495148762054	0.0227833083642445	0.389356834158694	0	0	0	0	0	0	2	2	0	0	0	0	0	1	0	4	0	3	3	0	0	2	3	3	7	3	0	3	2	0	1	3	1	1	3	2	2	0	0	1
EFHC2	2.04401038563283	-2.67005374732665	5.18163273723074	0.0228268639948773	0.389762257247023	2	8	0	5	6	15	1	7	2	11	2	18	34	12	9	2	0	29	52	7	16	12	1	2	16	3	7	1	0	4	13	12	2	16	9	6	33	2	60	6
CXCR1	1.26618565275852	3.17040329798906	5.1298357579375	0.0235179530031974	0.393186132993426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
IGFL4	-1.70861591697463	-3.37485163771697	5.12545904316366	0.0235773336438411	0.393186132993426	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SELL	1.06479210780578	4.15889836383336	5.12539179531409	0.0235782472342241	0.393186132993426	16	18	8	19	33	15	76	31	23	45	20	88	8	52	112	22	5	53	23	205	4	25	23	22	23	53	68	23	20	57	31	860	11	129	19	39	55	33	45	14
FCGR3B	1.2152619550442	3.3712092984299	5.12225748872108	0.0236208688682612	0.393186132993426	0	0	3	1	0	4	0	0	3	0	1	1	13	3	2	1	0	9	11	4	0	2	1	10	3	0	2	0	6	0	1	0	1	5	1	24	2	1	7	6
OMG	-1.41397527566606	-1.94948547287555	5.11050266482289	0.0237814290744716	0.393186132993426	22	52	11	40	42	18	132	53	75	89	43	109	106	47	83	40	19	111	86	185	14	72	23	27	34	64	69	30	27	38	85	1107	50	142	30	48	75	36	77	76
NKX1-2	-1.93768596769248	-3.06247940452736	5.10934321786646	0.0237973272803315	0.393186132993426	7	1	1	20	11	21	2	40	1	25	4	57	13	21	37	14	0	122	159	21	35	7	2	1	5	7	15	22	0	5	45	284	21	92	18	24	40	6	224	3
NKX3-2	1.45856197536275	-3.38388894268212	5.10327885997851	0.0238806608822261	0.393186132993426	16	106	15	44	25	21	81	9	16	59	55	181	10	105	90	39	0	76	32	322	17	56	31	61	51	92	50	14	44	94	34	1765	28	149	39	54	61	45	33	31
MKI67	-1.24150781113374	2.10786986562367	5.09412853041719	0.0240069738810624	0.393186132993426	2	0	0	3	0	2	4	4	6	6	0	0	5	2	0	1	0	0	1	0	1	0	0	0	0	0	0	5	1	0	2	0	0	0	1	0	1	0	2	2
RHOV	1.90471305654073	-2.99054760910759	5.08987593105762	0.024065913338102	0.393584345739464	5	301	479	22	11	48	1	18	865	26	29	103	136	130	8	49	14	40	2	39	7	11	70	83	103	104	34	108	6	50	358	4	105	9	32	25	6	62	57	39
SPAG17	1.48097920122757	-2.4159716386414	5.08648384987978	0.0241130339507235	0.393645504717498	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	2	0	0	0	0	0	0	1	3	6	3	1	0	0
LCT	1.44414319402127	-3.3852797808989	5.08049672697968	0.024196436935683	0.393645504717498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	7	3	0	0	0	0	0	2	0	0	0	0	0	2	0	0	1	0	1	0	0	0
HES2	1.0505819218174	-1.39118763659514	5.07881848413134	0.0242198691880659	0.393645504717498	1	1	0	0	9	2	1	17	0	221	0	15	1	5	32	28	0	67	39	4	43	23	14	11	19	0	0	0	4	12	7	635	4	51	24	85	60	1	190	0
AC017083.3	1.37122714549614	-2.41537554730293	5.06705949833268	0.0243847144054625	0.393645504717498	0	1	0	0	2	0	3	19	0	6	2	15	3	12	25	13	0	51	26	3	3	25	5	4	27	6	0	6	3	10	4	110	0	18	44	10	19	6	76	0
OR2W3	1.97880484751783	-2.94650033488589	5.05887656802988	0.0245001147867902	0.393645504717498	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	3	0	0	0	0	5	0	0	1	0	4	0
APOBEC3H	-1.5344560314967	-2.63422965244177	5.05414388904854	0.0245671162946079	0.393645504717498	0	0	0	0	0	9	3	0	0	1	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	3
C12orf71	-1.3963085633678	-3.40878817815826	5.05206661359611	0.0245965847348032	0.393645504717498	0	1	1	1	0	0	8	9	0	14	0	4	1	10	42	6	0	29	274	4	67	67	5	0	21	0	0	0	0	14	48	126	0	42	53	9	110	2	116	0
OR4K2	-1.3963085633678	-3.40878817815826	5.05206661359611	0.0245965847348032	0.393645504717498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RLBP1	-1.72249470542341	-3.38384181768674	5.02245865678282	0.0250206176142769	0.396556611268858	2	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	5	5	0	0	0	1	0	0	0	3	2	0	1	0	7	0	0	0	0	0	1	2	2
THEM5	1.47851867580017	-2.92394136833432	5.01737354689542	0.0250942046696793	0.396762996277721	0	0	0	0	0	0	0	0	0	9	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
HIST1H2BL	-1.60582604029047	-3.14652719006317	4.99278143135057	0.0254532637738251	0.397844131567344	0	4	5	1	0	0	15	4	4	0	0	2	0	0	0	0	6	0	0	0	0	0	0	0	0	0	17	41	1	3	1	24	28	104	5	2	37	40	5	6
AC008770.1	-1.68371457299813	-3.38516219827357	4.98760594852967	0.0255295060105204	0.397883728489101	34	66	107	45	32	54	52	38	97	78	27	98	42	29	72	64	124	60	55	44	58	40	74	42	47	94	54	876	51	67	53	180	51	807	69	59	507	53	53	49
MYF5	-1.68371457299813	-3.38516219827357	4.98760594852967	0.0255295060105204	0.397883728489101	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUMO4	-1.00975091944548	-2.18632407617764	4.98470120790181	0.0255724008616632	0.398236445431273	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LILRA6	1.20606345877335	-1.78642417096706	4.97349707641768	0.0257385568887046	0.399557550184606	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	1	3	4	3	0	0	0	0	0	0
CAGE1	1.73923015662217	-3.2559124054131	4.96476442528712	0.0258688386008523	0.40047487558444	44	10	95	31	1	3	2	62	25	6505	20	39	108	7	14	7	0	4	210	84	19	44	9	13	11	6	159	33	10	1	30	2	22	47	5	210	31	38	4	24
CNGB3	3.13347221029962	-3.31959694631631	4.95509702799288	0.0260138650452235	0.401095511619269	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST1H3J	2.70774449822591	-3.2909505316491	4.95267100123402	0.0260503917530161	0.401229113731995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
